Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
liwc.7_kg7BsyyTy8.txt,1,20542,38.61,55.45,52.12,62.60,22.38,18.45,78.87,43.35,17.43,13.27,7.73,0.33,4.22,0.74,0.28,4.16,3.59,8.31,8.20,4.80,4.08,1.94,16.12,4.28,1.38,1.81,2.04,1.53,9.63,5.75,3.81,0.20,2.25,0.34,11.64,0.59,0.35,1.23,1.01,8.37,1.59,1.28,1.33,1.69,1.42,2.08,3.21,1.77,0.75,0.65,4.54,1.83,0.73,1.35,0.54,6.83,2.59,0.68,1.91,1.76,0.32,2.02,12.54,1.63,11.99,1.88,5.36,5.02,0.67,1.66,0.21,0.34,0.33,0.34,8.38,3.06,4.66,0.61,0.41,0.06,26.01,3.14,1.49,0.00,0.18,1.34,2.74,0.04,4.21,2.96,0.31,9.58
liwc.7VbnLI9dA.txt,1,62487,68.23,57.30,42.99,70.55,15.49,26.85,67.90,37.25,12.84,8.44,4.16,0.34,3.07,0.52,0.35,4.38,3.98,9.55,6.35,4.04,2.67,1.48,12.42,4.34,2.31,1.05,0.98,2.36,5.55,3.90,1.53,0.25,0.56,0.24,6.88,0.35,0.27,0.56,0.63,7.72,1.30,1.04,0.93,2.03,1.34,2.04,3.19,1.56,0.87,0.65,2.22,1.06,0.43,0.29,0.40,5.44,1.41,1.06,1.77,1.43,0.28,2.40,9.11,1.43,13.89,1.93,6.11,6.16,1.11,2.01,0.35,0.32,0.48,0.19,5.67,0.77,4.56,0.58,0.32,0.07,40.55,14.69,1.09,0.00,0.96,0.62,1.50,0.54,0.42,3.66,0.49,16.59
liwc._UqnfSjiEX.txt,1,48215,75.33,92.71,39.07,71.03,11.73,24.21,83.17,45.87,14.00,10.93,2.99,1.55,5.67,0.22,0.50,3.07,4.68,14.65,6.88,3.95,4.42,0.99,14.50,4.70,1.49,1.98,2.00,1.60,7.03,4.58,2.17,0.91,0.21,0.57,13.02,0.23,0.17,0.20,0.17,9.59,2.73,2.03,1.36,1.78,1.17,1.69,2.63,1.17,0.79,0.49,4.39,0.47,3.64,0.09,0.14,9.83,3.97,2.54,2.17,1.24,0.56,1.43,12.56,1.05,13.50,1.70,7.17,4.82,5.66,1.30,0.36,1.14,0.58,0.04,0.47,0.01,0.24,0.10,0.08,0.05,18.64,9.51,1.36,0.00,0.16,1.98,0.89,0.52,0.17,2.08,0.06,1.90
liwc.b0GiwFwd_DE6.txt,1,73606,72.55,68.84,25.81,95.37,13.35,26.10,77.78,38.46,12.28,9.96,5.57,0.70,2.95,0.30,0.44,2.29,5.67,9.47,8.35,2.43,3.11,1.07,16.21,4.17,1.74,0.98,1.08,1.96,8.53,6.58,1.91,0.20,0.68,0.44,9.88,0.35,0.24,0.47,0.63,9.85,2.08,1.19,2.69,3.22,1.30,1.86,2.26,0.79,0.75,0.54,7.83,4.67,1.60,0.10,0.96,8.57,2.98,1.65,2.81,2.05,0.35,2.41,11.62,1.91,10.59,1.55,4.94,4.27,2.93,1.51,0.17,2.11,0.89,0.29,0.92,0.12,0.53,0.08,0.07,0.00,28.73,7.31,2.51,0.00,0.03,1.67,0.15,4.06,0.01,4.87,4.09,4.05
liwc.b8QbCYl.txt,1,41945,46.27,19.01,86.55,32.27,7.54,15.92,86.55,49.76,14.31,9.32,7.65,0.15,0.63,0.50,0.38,4.98,5.23,11.85,10.58,6.53,4.60,2.86,21.04,4.80,1.74,1.32,1.01,2.30,7.85,4.00,3.62,0.47,1.54,0.51,5.82,0.25,0.32,0.38,0.50,11.75,2.27,1.22,1.75,2.62,1.46,3.54,3.49,1.80,0.82,0.70,3.67,1.27,0.98,0.64,0.78,6.92,1.91,1.22,1.89,2.11,0.56,3.41,14.83,2.47,16.42,2.38,6.42,8.16,1.00,3.02,0.57,0.42,0.20,0.12,3.07,1.33,1.03,0.28,0.40,0.05,26.81,13.96,0.44,0.00,0.02,0.97,1.45,0.20,0.35,4.96,0.19,4.28
liwc.bAkRNyg7Fceb.txt,1,25947,52.04,46.93,27.03,27.05,13.37,26.91,75.21,43.54,12.80,7.66,4.03,0.47,1.68,0.44,1.05,5.13,4.97,9.60,9.61,5.20,4.21,2.54,15.89,5.01,2.27,1.47,1.28,2.29,7.52,3.75,3.67,0.40,1.75,0.51,8.49,0.25,0.33,0.31,0.68,12.71,2.56,1.68,1.47,2.91,1.92,3.79,2.15,0.81,0.72,0.42,3.10,0.86,0.86,0.77,0.68,6.49,1.62,1.17,2.45,1.33,0.68,2.99,11.47,0.84,8.85,1.03,4.27,3.63,1.80,1.16,0.16,0.71,0.66,0.33,2.31,1.04,0.48,0.46,0.32,0.04,35.16,7.63,3.83,0.00,1.01,1.01,1.62,1.08,1.90,4.48,0.97,11.65
liwc.bc2JTIhYY.txt,1,13387,66.75,83.84,7.37,17.80,34.24,18.86,82.13,42.97,10.42,7.34,0.78,1.65,1.08,1.85,1.98,3.09,4.58,11.12,9.02,4.00,3.76,2.93,16.55,3.57,1.81,1.48,1.82,1.78,7.89,3.67,4.21,0.22,1.99,0.52,14.22,0.99,0.21,1.03,2.18,10.51,2.06,1.61,1.54,1.43,1.56,3.26,2.61,1.02,0.78,0.69,3.00,0.61,1.52,0.64,0.27,10.31,2.99,0.86,5.17,1.33,0.62,3.73,11.15,1.14,9.58,1.29,4.88,3.50,2.09,0.73,0.34,0.60,5.87,1.67,0.55,0.10,0.30,0.12,0.03,0.01,14.63,2.69,0.44,0.00,0.30,0.31,0.93,1.23,0.37,1.99,0.07,6.28
liwc.bebChK7PskxB.txt,1,1642,70.02,66.95,99.00,27.80,20.52,24.85,80.88,36.36,13.70,7.06,5.05,0.06,1.83,0.12,0.00,6.64,1.71,11.02,4.38,2.07,3.71,2.01,15.47,9.81,0.43,0.49,10.17,0.49,3.17,1.64,1.52,0.12,0.55,0.43,10.78,0.06,4.63,0.06,0.12,4.45,1.16,0.43,0.79,0.79,0.85,0.97,1.04,0.24,0.37,0.43,2.56,1.95,0.30,0.18,0.00,7.13,0.91,0.61,5.30,0.97,0.18,2.74,7.98,0.79,31.30,5.05,11.45,15.83,0.43,0.43,0.00,0.06,0.18,0.06,5.12,0.24,4.63,0.00,0.24,0.00,25.03,3.41,5.48,0.00,0.30,0.18,2.13,4.81,0.24,1.58,2.07,4.81
liwc.bgfywlOA6.txt,1,20643,61.38,60.70,20.96,44.10,15.00,25.81,71.17,44.37,11.95,5.88,1.83,0.51,2.10,0.68,0.76,6.07,4.95,11.37,8.30,4.61,5.52,2.40,14.42,3.58,2.03,1.92,1.32,1.82,4.57,2.75,1.75,0.24,0.69,0.27,8.13,0.01,0.16,0.09,0.80,11.85,2.40,1.86,1.50,2.41,1.50,3.72,1.26,0.66,0.38,0.18,0.70,0.35,0.16,0.06,0.11,5.67,1.30,1.24,2.23,1.14,0.53,2.01,10.77,1.48,10.39,1.29,6.21,3.01,3.31,0.51,0.10,1.62,0.10,0.07,1.00,0.09,0.24,0.31,0.31,0.03,27.77,5.38,1.59,0.00,0.07,1.80,0.02,0.43,0.16,3.89,0.14,14.28
liwc.bLGuM9uvR3Ogqo4.txt,1,30934,76.69,56.63,20.38,49.67,11.06,23.10,69.50,39.56,9.91,5.89,2.73,0.36,1.34,0.95,0.50,4.00,6.42,9.64,7.02,3.95,3.94,1.53,13.11,4.53,1.68,1.02,1.56,1.55,5.91,3.58,2.29,0.31,0.65,0.65,6.94,0.34,0.34,0.46,1.30,8.32,1.50,0.90,1.13,2.20,1.29,2.38,3.07,1.34,0.82,0.58,3.08,0.92,0.48,0.23,1.36,6.25,1.49,1.06,2.43,1.54,0.49,2.87,8.20,0.91,11.51,1.54,6.03,4.13,1.48,1.79,0.45,0.84,0.46,0.31,1.62,0.34,0.53,0.45,0.33,0.08,27.39,7.04,1.13,0.00,0.14,1.62,0.80,1.91,0.08,2.58,0.24,11.85
